id	smiles	MQN	Emol	Ekat	HOMO	LUMO	I	n
mol2937	CC1(N)C2NC3C1C2C1COCC31	[10, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 13, 2, 0, 0, 14, 0, 0, 0, 4, 3, 3, 2, 0, 0, 2, 0, 0, 0, 4, 6, 1, 0, 1, 4, 0, 0, 0, 0, 0, 8, 8]	-574,7073108	-574,4421643	-0,17136	0,02154	0,2651465	5,18
mol2938	CC1C2N=CNC(C)(C)CC(=O)C12	[10, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 13, 3, 1, 0, 9, 1, 0, 0, 4, 3, 1, 1, 0, 0, 4, 0, 0, 0, 4, 4, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2, 1]	-574,7033049	-574,4275498	-0,18149	-0,04554	0,2757551	4,41
mol2939	CN1OC=C2N(C3CC3)C(=N)N=C12	[8, 0, 0, 0, 0, 0, 0, 1, 3, 0, 1, 13, 2, 1, 0, 8, 4, 0, 1, 6, 5, 1, 1, 0, 0, 2, 0, 0, 0, 5, 6, 0, 1, 0, 2, 0, 0, 0, 0, 0, 2, 1]	-604,3297364	-604,0701304	-0,16523	-0,05685	0,259606	4,04
mol2940	CN1CC2C3C(N=C4ON=CN24)C13	[8, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 13, 1, 0, 0, 13, 2, 0, 0, 6, 5, 0, 0, 0, 0, 1, 0, 0, 0, 5, 7, 0, 1, 0, 2, 1, 0, 0, 0, 0, 6, 4]	-604,3511114	-604,088886	-0,16989	-0,03645	0,2622254	4,33
mol2941	CCOC1=CC2=C(CNC2CN)N1	[9, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 13, 5, 0, 0, 7, 2, 0, 3, 5, 4, 4, 3, 0, 0, 2, 3, 0, 0, 4, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 1]	-590,751701	-590,5211561	-0,14141	0,02521	0,2305449	4,69
mol2942	CC(CN)C1OC1C1=COC(C)=N1	[9, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 13, 6, 0, 0, 6, 2, 0, 3, 6, 4, 2, 1, 0, 0, 3, 1, 1, 0, 4, 4, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]	-610,6084436	-610,3283289	-0,19408	-0,03263	0,2801147	4,54
mol2943	CN(C)C1=NCC2(NC2C=C1)C#C	[10, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 13, 4, 0, 1, 7, 2, 0, 0, 3, 3, 1, 1, 0, 0, 3, 1, 1, 0, 5, 2, 1, 1, 0, 0, 0, 1, 0, 0, 0, 2, 1]	-552,3617115	-552,0887186	-0,18748	-0,07376	0,2729929	3,87
mol2944	CCC1C=CC2=C1CNN=CC2	[10, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 12, 2, 0, 0, 8, 3, 0, 1, 2, 2, 1, 1, 0, 0, 1, 1, 0, 0, 7, 3, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1]	-498,2816178	-498,0032239	-0,18292	-0,06254	0,2783939	4,24
mol2945	CC1C2CC(N)C1C(O)(CN)CC2	[10, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 13, 5, 0, 0, 9, 0, 0, 1, 4, 3, 5, 3, 0, 0, 4, 1, 0, 0, 3, 4, 1, 0, 0, 1, 1, 0, 0, 0, 0, 3, 2]	-577,1438759	-576,8618709	-0,18371	0,00807	0,282005	5,28
mol2946	CC1=CCC(CN2N=CC=N2)=C1	[9, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 12, 3, 0, 0, 6, 4, 0, 2, 3, 3, 0, 0, 0, 0, 1, 1, 0, 0, 7, 3, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]	-513,1984355	-512,9156023	-0,18768	-0,05684	0,2828332	4,37
