id	smiles	Carbon	Cyclic nitrogen	Heavy atoms	Acyclic double bonds	Cyclic single bonds	Cyclic double bonds	H-bond acceptor sites	H-bond acceptor atoms	Cyclic divalent nodes	Cyclic trivalent nodes	n
mol3037	CC1(CN1)C12CC1CC(OC2)=NO	9	1	13	1	11	0	6	4	6	2	5.01
mol3038	CC1(CN)CCCC=C(CC1)C=C	12	0	13	1	7	1	1	1	6	1	4.13
mol3039	COC1=CC=NN1C=NC=NC	7	2	12	2	3	2	6	5	3	2	4.05
mol3040	C1C2OC3C2CC2CC1C3CCN2	11	1	13	0	16	0	3	2	7	6	5.23
mol3041	CN1CCC2C3CC(O)C1(C)C2N3	10	2	13	0	12	0	4	3	4	5	5.02
mol3042	CC1C(N)C1C12CCNC1C=NN2	9	3	13	0	11	1	4	4	6	4	4.38
mol3043	CC1CCC2(CC2)C(C)=NN=CO1	10	2	13	0	10	2	4	3	8	2	4.65
mol3044	CNCCC1=NC=C2C(CN12)C=C	10	2	13	1	6	2	3	3	3	4	4.38
mol3045	CC1(N)CC(N)C(=CC1O)C(N)=N	8	0	13	1	5	1	6	5	2	3	4.19
mol3046	NN(C=C)C=NC12CC3CC1C2C3	10	0	13	2	9	0	3	3	3	3	4.16
mol3047	CC1=C2N=CSN2C(CC=C)=N1	8	3	12	1	5	4	3	3	4	4	4.00
mol3048	CC(C)CC1NC1C(C)N1CC1C	11	2	13	0	6	0	2	2	2	4	5.56
mol3049	C1OCC23CNNC(CCC1C2)=N3	9	3	13	0	14	1	5	4	10	2	4.46
mol3050	CC1NC1C(C)(C=C)C(C)(O)C#C	11	1	13	1	3	0	3	2	1	2	4.71
mol3051	CC1(CCC#C)C2CNC(=O)CC12	11	1	13	1	8	0	3	2	3	3	5.27
mol3052	C=COCCCON=CC1COC1	9	0	13	2	4	0	7	4	3	1	4.15
mol3053	CC1=C2CNC(=O)C(=N)N2C=N1	7	3	12	2	8	2	6	5	4	5	4.08
mol3054	CC1(CCO)CNN=CCC=CO1	9	2	13	0	7	2	6	4	8	0	4.45
mol3055	CCC1(C)CC1C(C)C(C)O	10	0	11	0	3	0	2	1	1	1	5.83
mol3056	NC1C=CC2C3CC1C2CCCN3	11	1	13	0	13	1	2	2	7	5	4.49
mol3057	CC=C1C(O)C2CC3OC=C1C23	10	0	12	1	10	1	4	2	3	6	4.30
mol3058	CCC1(C)NCC1(NCC#N)C=O	9	1	13	1	4	0	5	4	2	0	4.17
mol3059	CC12NCC3(C=CC#N)C1C=CC23	11	1	13	1	9	1	2	2	4	2	4.09
mol3060	CCC(CO)CC1=CN=CS1	8	1	11	0	3	2	3	2	4	1	4.55
mol3061	C=CC1(C=C)C2OC3CN1CC23	10	1	12	2	10	0	3	2	3	4	4.46
mol3062	CC12CC(=O)C1(O)C=CCC(=N)N2	9	1	13	2	9	1	6	4	5	2	4.13
mol3063	CN=C1OC2C(=O)CC2(O)C2CN12	8	1	13	2	11	0	8	5	3	5	4.03
mol3064	C=CC(=C)CC1=CC2NC2C(=O)N1	10	2	13	3	7	1	4	3	3	4	4.00
mol3065	OC1CC(=C)OCCC2=CSN=C12	9	1	13	1	10	2	5	3	7	4	4.34
mol3066	OC1(CNN(C1)C(=S)NC=O)C=C	7	2	13	3	5	0	7	5	3	1	4.34
mol3067	C=NN=CC(=C)C1=CCNN=CN1	8	3	13	3	5	2	5	5	6	1	3.16
mol3068	CC1CC2OC3CC4C1C4C23CN	11	0	13	0	13	0	3	2	3	6	5.34
mol3069	COCOC(C)C(C)COC=O	8	0	12	1	0	0	8	4	0	0	5.08
mol3070	C=C1CNC2=C1N(C=O)C=C2C#C	10	2	13	2	7	2	4	3	3	5	3.49
mol3071	CC1C2(CC(C2)NC1(C)C)C#C	11	1	12	0	8	0	1	1	3	2	5.34
mol3072	C#CC#CC1NCC=C2CON=C12	10	2	13	0	8	2	4	3	6	3	3.97
mol3073	CCC1=CCCCC1C(C#C)C#N	12	0	13	0	5	1	1	1	4	2	5.01
mol3074	COC1=CC(C#N)C(C1)=CC=C	10	0	12	2	4	1	3	2	2	3	4.01
mol3075	CC(=NN)N1CC2C=CC=C2C=N1	9	2	13	1	7	3	4	4	6	3	3.26
mol3076	CC12OC3(C=C1)C=CC=C2NC3=N	10	1	13	1	10	3	4	3	7	2	3.53
mol3077	CC1C2CC(C2)(C#N)C1NNC=N	9	0	13	1	7	0	4	4	2	3	5.37
mol3078	CC(C#C)C12CC1(O)CNC2=O	9	1	12	1	7	0	5	3	3	1	5.11
mol3079	CC1=CC(OC2CNC2C#C)=CN1	10	2	13	0	7	2	4	3	5	4	4.58
mol3080	CC1COCOC1CN=CNO	7	0	12	1	6	0	8	5	4	2	4.92
mol3081	OC1CCC2C(C#C)C2C1C=C	11	0	12	1	8	0	2	1	2	5	4.88
mol3082	CC12NCC1(O)CNC1=NNC=C21	8	4	13	0	11	2	6	5	7	2	4.65
mol3083	CC1C2NCCC1(C)C(C=O)C=C2	11	1	13	1	9	1	3	2	5	3	4.34
mol3084	CC1OC1CC1CN2C3CC(C3)C12	11	1	13	0	13	0	3	2	4	7	5.67
mol3085	CC#CCC(=O)C1CN(O)C1=O	8	1	12	2	4	0	7	4	1	3	4.31
mol3086	CCN(N=CNO)C(CN)CC#C	8	0	13	1	0	0	6	5	0	0	4.40
mol3087	CC1CC2(COC3(C)C(N1)C23)C=C	11	1	13	1	11	0	3	2	4	3	4.46
mol3088	CC1C2C1C(=O)C1CON=CC21	9	1	12	1	11	1	5	3	4	6	4.42
mol3089	CC1CC(C1O)C1=NC(=CS1)C#C	10	1	13	0	7	2	3	2	4	5	4.09
mol3090	CC1(C)C2CCC1C(CO)ON=C2	10	1	13	0	9	1	5	3	5	3	4.85
mol3091	CCCC(=O)C(O)C1NC1(C)CO	9	1	13	1	3	0	7	4	1	1	4.32
mol3092	CCC12CN1C(C=C2)=NC(C)C#N	10	1	13	1	6	1	3	3	3	2	4.23
mol3093	N#CCC1=C(CCC1)C1CCN1	10	1	12	0	8	1	2	2	6	3	4.86
mol3094	CN1CC(CC#C)ONS1(=O)=O	6	2	12	2	6	0	8	5	3	2	5.21
mol3095	CC12CC3C(C1=NN)C3(C2)C=NO	9	0	13	2	9	0	5	4	2	3	4.37
mol3096	CNCC1COC(C#N)C1(O)C=C	9	0	13	1	5	0	6	4	2	2	4.87
mol3097	CC1CC2(CC2)N2CC3NC1CC23	11	2	13	0	15	0	2	2	6	5	5.25
mol3098	NC1C2CCC(C1=C)C(=C)C2C=C	12	0	13	3	9	0	1	1	2	6	4.62
mol3099	CCCCN(OC)C1=NOC(C)C1	9	1	13	0	4	1	6	4	3	2	4.68
mol3100	CNC(=S)NC1CC1(NC=O)C=C	8	0	13	3	3	0	5	4	1	1	4.40
mol3101	CC(C)N1C2C3NC3CC1(C)C2C	11	2	13	0	10	0	2	2	2	5	5.45
mol3102	CC1C2NC=NC2=COC1(C)CN	9	2	13	0	8	2	5	4	5	3	4.31
mol3103	CN1CC(C)=C2C(NN=C2C)C1=O	9	3	13	1	8	2	5	4	3	6	3.97
mol3104	CCC1(NC)C(O)CC(C)C1=O	9	0	12	1	5	0	5	3	1	3	4.37
mol3105	CCC1=C(CC2CCC1N2)C(N)=N	10	1	13	1	8	1	3	3	4	4	4.41
mol3106	CNC1C(O)CC2(N)CC1(O)C2O	8	0	13	0	8	0	8	5	2	3	5.29
mol3107	CC(C)CCC1=COC(C)=C1C#N	11	0	13	0	3	2	3	2	2	3	4.64
mol3108	CCC1(CCC1NC)N(C)C=O	9	0	12	1	4	0	4	3	2	1	4.97
mol3109	C1CC(C1)C1C2CN3N=CN=C3N12	9	4	13	0	13	2	4	4	7	6	5.09
mol3110	COC1C2CCC2(N)C2COC12	9	0	12	0	11	0	5	3	4	4	5.25
mol3111	NC(=O)C1CC2CC(N2)C1=C	8	1	11	2	8	0	4	3	3	4	4.69
mol3112	CCC12CN(C)CC1OC(C=O)=C2	10	1	13	1	8	1	5	3	4	3	3.65
mol3113	CC(=O)N1C=CC(O)C(=O)C=C1N	8	1	13	2	5	2	8	5	3	4	4.06
mol3114	CCC1CNC1(C=CCC=O)C#C	11	1	13	2	4	0	3	2	2	1	4.19
mol3115	CC#CCNCC1=CC(=O)C(=N)N1	9	1	13	2	4	1	5	4	2	3	3.69
mol3116	CC12C3CCN1C(CN1CC1)CC23	11	2	13	0	13	0	2	2	5	5	5.50
mol3117	CC1(C)NC2CC=CC(N)C12C	10	1	12	0	8	1	2	2	4	2	4.68
mol3118	CC1=NCC(=C)C2CC(C=NN)N12	9	2	13	2	8	1	4	4	3	5	4.29
mol3119	C=CC1OC2CN3C(CCC2=O)C13	10	1	13	2	12	0	5	3	4	6	4.29
